ID,Name,Gender,Age,Occupation,income,District,Latitude,Longtitude,Health Care Capacity,Health Status
34625729385,Tallulah,1,60,4,35764.90321,9,41.3851419005 ,2.1743798952 ,3,1
34633048427,Margret,1,37,33,31689.40061,6,41.3851419076 ,2.1743734064 ,3,2
34652494894,Felicia,1,32,3,21640.51871,2,41.3851406492 ,2.1743708087 ,2,3
34694100967,Delcine,0,30,5,21212.86293,2,41.3851421438 ,2.1743785172 ,3,1
34646798274,Anabel,1,43,12,26040.81324,10,41.3851419897 ,2.1743641423 ,3,2
34666272451,Noellyn,0,39,42,15816.93318,9,41.3851422826 ,2.1743745122 ,1,1
34699594547,Marcellina,0,52,37,41777.0952,8,41.3851415238 ,2.1743788320 ,2,3
34610150863,Robinetta,1,57,49,26635.28171,6,41.3851412665 ,2.1743706010 ,1,4
34672621334,Ophelie,0,55,37,31370.44082,2,41.3851406547 ,2.1743712319 ,2,2
34615139725,Jeniece,1,34,9,38520.80858,5,41.3851415980 ,2.1743601161 ,3,2
34673410321,Heida,1,33,35,21192.70625,1,41.3851423381 ,2.1743886627 ,3,2
34614085477,Brenn,1,44,12,43594.49299,7,41.3851429545 ,2.1743586527 ,2,1
34621857749,Arleyne,0,43,40,39905.99175,1,41.3851416160 ,2.1743582098 ,2,3
34624232151,Lavina,0,51,37,85673,6,41.3851425201 ,2.1743807974 ,3,2
34658475300,Patricia,0,55,2,34385.49534,9,41.3851430925 ,2.1743714531 ,4,1
34620361212,Dania,1,29,37,14250.9652,5,41.3851416044 ,2.1743620509 ,1,1
34602223154,Lillis,0,36,14,37664.49659,1,41.3851425843 ,2.1743620601 ,3,2
34677157252,Patsy,0,39,49,37208.43047,9,41.3851431937 ,2.1743904850 ,1,2
34691725410,Danna,1,45,4,15031.26618,1,41.3851416123 ,2.1743774350 ,3,3
34699874356,Kimmie,1,50,8,26303.48667,9,41.3851421838 ,2.1743800750 ,3,1
34661557160,Roxane,1,40,9,22623.62564,2,41.3851421192 ,2.1743765044 ,1,3
34640233569,Kathlin,0,35,1,26578.16544,8,41.3851411894 ,2.1743865498 ,4,2
34691484094,Theodora,0,61,42,28976.34381,7,41.3851424765 ,2.1743628991 ,1,2
34641267407,Ange,1,43,24,17782.39671,4,41.3851424515 ,2.1743954800 ,2,4
34607972286,Vickie,0,63,8,48886.38791,9,41.3851414659 ,2.1743543744 ,2,3
34673744033,Gretal,0,48,41,26079.75098,9,41.3851416881 ,2.1743983757 ,2,2
34610153015,Bonni,0,26,3,30152.78658,4,41.3851403746 ,2.1743700047 ,3,4
34691308674,Joeann,1,49,43,23488.5551,3,41.3851414731 ,2.1743680497 ,1,3
34692584823,Orelee,1,39,29,11199.20121,3,41.3851408227 ,2.1743645114 ,1,1
34632494631,Pietra,1,39,16,30615.42379,7,41.3851415751 ,2.1743787701 ,4,3
34699914300,Marquita,0,53,43,45339.54047,10,41.3851430029 ,2.1743827947 ,2,1
34669919882,Maiga,1,52,26,36710.05011,10,41.3851411357 ,2.1743797093 ,3,3
34692791892,Ashely,0,43,5,43652.01853,9,41.3851419644 ,2.1743862545 ,2,3
34626638981,Marnie,0,38,21,22959.99088,8,41.3851406375 ,2.1743604851 ,4,4
